,year,date,away_team,home_team,away_score,home_score,winner
24,2014,11/22/2014, Western Michigan, Central Michigan,32.0,20.0, Western Michigan
25,2014,11/22/2014, Washington State, Arizona State,31.0,52.0, Arizona State
26,2014,11/22/2014, New Mexico, Colorado State,20.0,58.0, Colorado State
27,2014,11/22/2014, Kansas, Oklahoma,7.0,44.0, Oklahoma
28,2014,11/22/2014, Eastern Michigan, Ball State,30.0,45.0, Ball State
29,2014,11/22/2014, Appalachian State, Louisiana-Lafayette,35.0,16.0, Appalachian State
30,2014,11/22/2014, Savannah State, BYU,0.0,64.0, BYU
31,2014,11/22/2014, Mississippi, Arkansas,0.0,30.0, Arkansas
32,2014,11/22/2014, Arizona, Utah,42.0,10.0, Arizona
33,2014,11/22/2014, Florida International, North Texas,14.0,17.0, North Texas
34,2014,11/22/2014, Tulane, East Carolina,6.0,34.0, East Carolina
35,2014,11/22/2014, Syracuse, Pittsburgh,7.0,30.0, Pittsburgh
36,2014,11/22/2014, Texas Tech, Iowa State,34.0,31.0, Texas Tech
37,2014,11/22/2014, Wisconsin, Iowa,26.0,24.0, Wisconsin
38,2014,11/22/2014, Maryland, Michigan,23.0,16.0, Maryland
39,2014,11/22/2014, Louisville, Notre Dame,31.0,28.0, Louisville
40,2014,11/22/2014, Boston College, Florida State,17.0,20.0, Florida State
41,2014,11/22/2014, Georgia State, Clemson,0.0,28.0, Clemson
42,2014,11/22/2014, South Florida, Memphis,20.0,31.0, Memphis
43,2014,11/22/2014, Stanford, California,38.0,17.0, Stanford
44,2014,11/22/2014, Western Carolina, Alabama,14.0,48.0, Alabama
45,2014,11/22/2014, Louisiana-Monroe, New Mexico State,30.0,17.0, Louisiana-Monroe
46,2014,11/22/2014, Colorado, Oregon,10.0,44.0, Oregon
47,2014,11/22/2014, Samford, Auburn,7.0,31.0, Auburn
48,2014,11/22/2014, Miami (Florida), Virginia,13.0,30.0, Virginia
49,2014,11/22/2014, Florida Atlantic, Middle Tennessee,34.0,35.0, Middle Tennessee
50,2014,11/22/2014, Oklahoma State, Baylor,28.0,49.0, Baylor
51,2014,11/22/2014, Missouri, Tennessee,29.0,21.0, Missouri
52,2014,11/22/2014, USC, UCLA,20.0,38.0, UCLA
53,2014,11/22/2014, Cincinnati, Connecticut,41.0,0.0, Cincinnati
54,2014,11/22/2014, Boise State, Wyoming,63.0,14.0, Boise State
55,2014,11/22/2014, Fresno State, Nevada,40.0,20.0, Fresno State
56,2014,11/22/2014, Oregon State, Washington,13.0,37.0, Washington
57,2014,11/22/2014, UNLV, Hawai'i,35.0,37.0, Hawai'i
0,2014,11/25/2014, Ohio, Miami (Ohio),24.0,21.0, Ohio
1,2014,11/27/2014, LSU, Texas A&M,23.0,17.0, LSU
2,2014,11/27/2014, TCU, Texas,48.0,10.0, TCU
3,2014,11/28/2014, Northern Illinois, Western Michigan,31.0,21.0, Northern Illinois
4,2014,11/28/2014, Nebraska, Iowa,37.0,34.0, Nebraska
5,2014,11/28/2014, Western Kentucky, Marshall,67.0,66.0, Western Kentucky
6,2014,11/28/2014, UCF, South Florida,16.0,0.0, UCF
7,2014,11/28/2014, Houston, SMU,35.0,9.0, Houston
8,2014,11/28/2014, Toledo, Eastern Michigan,52.0,16.0, Toledo
9,2014,11/28/2014, Ball State, Bowling Green,41.0,24.0, Ball State
10,2014,11/28/2014, Buffalo, Massachusetts,41.0,21.0, Buffalo
11,2014,11/28/2014, Akron, Kent State,24.0,27.0, Kent State
12,2014,11/28/2014, Arkansas, Missouri,14.0,21.0, Missouri
13,2014,11/28/2014, Navy, South Alabama,42.0,40.0, Navy
14,2014,11/28/2014, Arizona State, Arizona,35.0,42.0, Arizona
15,2014,11/28/2014, Stanford, UCLA,31.0,10.0, Stanford
